"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"131","Aggressive Inline","other","Acclaim Entertainment","May","2002"," T",9.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,16,5,9,11,9,11,23,23,38
"132","Agile Warrior F-111X","other","other","January","1996"," T",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,1,0,0,2,3
"135","Aidyn Chronicles: The First Mage","other","THQ","March","2001"," T",4.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,7,2,5,4,4,4,3,4,17
"137","Air Combat","Namco","Namco","June","1995"," E",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,9,2,4,3,6,15,9
"139","Air Conflicts: Secret Wars","other","other","November","2011"," T",6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,4,2,2,4,3,6
"140","Air Conflicts: Vietnam","other","other","October","2013"," T",3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
"141","Air Zonk","other","Hudson Soft","December","1992",NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,3,5,8,6,3,9,9,16
"142","AirBlade","other","Namco","January","2002"," T",7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,0,4,5,2,2,8,9,9
"144","AirMech","other","other","December","2011",NA,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,13,4,10,10,7,4,19,14,34
"146","Airfix Dogfighter","other","other","December","2000"," E",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,4,2,11,6,2,3,6,11,16
