,game_name,url
344,Armored Core: Project Phantasma,https://en.wikipedia.org/wiki/Armored_Core:_Project_Phantasma
345,Silent Line: Armored Core,https://en.wikipedia.org/wiki/Silent_Line:_Armored_Core
346,Armored Core: Verdict Day,https://en.wikipedia.org/wiki/Armored_Core:_Verdict_Day
347,Armored Core for Answer,https://en.wikipedia.org/wiki/Armored_Core:_For_Answer
348,Armored Fist 3,https://en.wikipedia.org/wiki/Armored_Fist_3
349,Armorines: Project S.W.A.R.M.,https://en.wikipedia.org/wiki/Armorines:_Project_S.W.A.R.M.
350,Armorines: Project S.W.A.R.M. [GBC],NA
351,Arms,https://en.wikipedia.org/wiki/Arms
352,Army Corps of Hell,https://en.wikipedia.org/wiki/Army_Corps_of_Hell
353,Army Men,https://en.wikipedia.org/wiki/Army_Men
354,Army Men 3D,https://en.wikipedia.org/wiki/Army_Men_3D
355,Army Men Advance,https://en.wikipedia.org/wiki/Army_Men_Advance
356,Army Men Air Combat [GBC],NA
357,Army Men II,https://en.wikipedia.org/wiki/Army_Men_II
358,Army Men: Air Attack,https://en.wikipedia.org/wiki/Army_Men:_Air_Attack
359,Army Men: Air Attack 2,https://en.wikipedia.org/wiki/Army_Men:_Air_Attack_2
360,Army Men: Air Combat,https://en.wikipedia.org/wiki/Army_Men:_Air_Attack
361,Army Men: Air Tactics,https://en.wikipedia.org/wiki/Army_Men:_Air_Tactics
362,Army Men: Green Rogue,https://en.wikipedia.org/wiki/Army_Men:_Green_Rogue
363,Army Men: Major Malfunction,https://en.wikipedia.org/wiki/Army_Men:_Major_Malfunction
364,Army Men: Operation Green,https://en.wikipedia.org/wiki/Army_Men:_Operation_Green
365,Army Men: RTS,https://en.wikipedia.org/wiki/Army_Men:_RTS
366,Army Men: Sarge's Heroes,https://en.wikipedia.org/wiki/Army_Men:_Sarge%27s_Heroes
367,Army Men: Sarge's Heroes 2,https://en.wikipedia.org/wiki/Army_Men:_Sarge%27s_Heroes_2
368,Army Men: Sarge's War,https://en.wikipedia.org/wiki/Army_Men:_Sarge%27s_War
369,Army Men: Toys in Space,https://en.wikipedia.org/wiki/Army_Men:_Toys_in_Space
370,Army Men: World War,https://en.wikipedia.org/wiki/Army_Men:_World_War
371,Army Men: World War Final Front,NA
372,"Army Men: World War Land, Sea, Air",NA
373,Army of Two,https://en.wikipedia.org/wiki/Army_of_Two
374,Army of Two: The 40th Day -- Chapters of Deceit,NA
